CE_Domain,Computer Vision,Predictive Analytics,Generative Design,Robotics/Automation
Structural,9.32475884244373,46.30225080385852,14.14790996784566,30.22508038585209
Geotechnical,7.142857142857142,71.42857142857143,7.142857142857142,14.285714285714285
Transportation,8.91566265060241,38.795180722891565,8.91566265060241,43.373493975903614
Construction Management,6.879361914257228,46.061814556331,10.967098703888336,36.09172482552343
Environmental Engineering,7.860262008733625,55.45851528384279,7.860262008733625,28.82096069868996
