,Computer Vision,Predictive Analytics,Generative Design,Robotics/Automation,Machine Learning
Structural,6.0,7.0,3.0,28.0,36.0
Geotechnical,1.0,2.0,1.0,4.0,6.0
Transportation,1.0,2.0,5.0,11.0,15.0
Construction Management,0.0,1.0,3.0,5.0,4.0
Environmental Engineering,1.0,1.0,1.0,5.0,6.0
