Category,Name,Count,Percentage
CE Area,Structural,13,5.038759689922481
CE Area,Geotechnical,1,0.3875968992248062
CE Area,Transportation,47,18.217054263565892
CE Area,Construction Management,146,56.58914728682171
CE Area,Environmental Engineering,72,27.906976744186046
AI Technology,Computer Vision,8,3.10077519379845
AI Technology,Predictive Analytics,88,34.10852713178294
AI Technology,Generative Design,35,13.565891472868216
AI Technology,Robotics/Automation,24,9.30232558139535
