CE_Domain,Computer Vision,Predictive Analytics,Generative Design,Robotics/Automation
Structural,29,144,44,94
Geotechnical,1,10,1,2
Transportation,37,161,37,180
Construction Management,69,462,110,362
Environmental Engineering,18,127,18,66
