title,publication_date,source,url,description,ai_keywords_found,ce_keywords_found
Alphabet Acquiring Data Center Firm Intersect,2025-12-22T21:46:11Z,pymnts.com,https://www.pymnts.com/acquisitions/2025/alphabet-acquiring-data-center-firm-intersect/,"Google’s parent company is set to acquire Intersect, a company providing data center and energy infrastructure solutions. The $4.75 billion deal is designed to allow more artificial intelligence (AI) data center and generation capacity to come online more qui…",artificial intelligence,infrastructure
What 2025 told us about the future of AI in architecture,2025-12-22T18:38:00Z,Archinect,https://archinect.com/news/article/150515107/what-2025-told-us-about-the-future-of-ai-in-architecture,"Throughout 2025, advances in artificial intelligence continued at a fast pace across architecture and construction. From new models by established AI companies such as OpenAI to bespoke tools aimed at the AEC industry, the architect's AI toolkit continued to …",artificial intelligence,construction
"Hyundai Motor to unveil AI strategy, debut humanoid robot at CES 2026",2025-12-22T03:57:50Z,The Times of India,https://economictimes.indiatimes.com/tech/technology/hyundai-motor-to-unveil-ai-strategy-debut-humanoid-robot-at-ces-2026/articleshow/126113843.cms,"Hyundai Motor Group is also developing a major battery research center in South Korea. This facility aims to boost electric vehicle competitiveness. Construction is progressing well, with completion expected by the end of 2026. The group is investing signific…","artificial intelligence, robotics",construction
"Endra secures $20M to automate mechanical, electrical and plumbing design for construction",2025-12-19T17:05:12Z,SiliconANGLE News,https://siliconangle.com/2025/12/19/endra-secures-20m-automate-mechanical-electrical-plumbing-design-construction/,"Sweden-based Endra Systems AB, an artificial intelligence and generative design startup for engineers who make buildings habitable, announced Thursday it raised $20 million in seed funding led by Notion Capital. When it comes to construction, buildings are mo…",artificial intelligence,construction
Workplace Transformation Market Set to Reach US$ 188.7 Billion by 2035 as Generative AI Adoption Delivers Massive Productivity and Operational Efficiency Gains Says Astute Analytica,2025-12-18T18:53:00Z,GlobeNewswire,https://www.globenewswire.com/news-release/2025/12/18/3208111/0/en/Workplace-Transformation-Market-Set-to-Reach-US-188-7-Billion-by-2035-as-Generative-AI-Adoption-Delivers-Massive-Productivity-and-Operational-Efficiency-Gains-Says-Astute-Analytica.html,"Enterprises currently prioritizing resilience by funneling capital into AI-driven automation and fortified cloud infrastructures to support distributed teams. Wherein, decision-makers in the market are aggressively consolidating software portfolios to optimiz…","automation, generative AI",infrastructure
Passive determination of anisotropic compressive strength of 3D printed concrete using multiple neural networks enhanced with explainable machine learning (XML),2025-12-12T00:00:00Z,Nature.com,https://www.nature.com/articles/s41598-025-11068-w,Scientific Reports - Passive determination of anisotropic compressive strength of 3D printed concrete using multiple neural networks enhanced with explainable machine learning (XML),"neural networks, machine learning","concrete, construction"
"Technical Program Manager, Machine Learning, Program Management Office, Execution Readiness",2025-12-11T00:00:00Z,Nlppeople.com,https://nlppeople.com/job/technical-program-manager-machine-learning-program-management-office-execution-readiness/,"Note: By applying to this position you will have an opportunity to share your preferred working location from the following: Dublin, Ireland; London, UK. Minimum qualifications: • Bachelor’s degree in Engineering, Construction Management, or equivalent practi…",machine learning,construction
Scalable Construction of Spiking Neural Networks using up to thousands of GPUs,2025-12-10T10:27:31Z,Arxiv.org,https://arxiv.org/abs/2512.09502,"Diverse scientific and engineering research areas deal with discrete, time-stamped changes in large systems of interacting delay differential equations. Simulating such complex systems at scale on high-performance computing clusters demands efficient manageme…",neural networks,construction
Sen. Bernie Sanders: Here's Why We Need to Halt AI Data Center Construction,2025-12-17T15:41:22Z,PCMag.com,https://me.pcmag.com/en/ai/34241/sen-bernie-sanders-heres-why-we-need-to-halt-ai-data-center-construction,"In a video, the US senator from Vermont pushed for increased scrutiny and regulation of AI and robotics to ensure the technologies benefit all Americans, rather than only tech billionaires.
US Sen. Bernie Sanders (I-Vt.) is calling for a ""moratorium"" on new d…",robotics,construction
Sen. Bernie Sanders: Here's Why We Need to Halt AI Data Center Construction,2025-12-17T15:41:22Z,PCMag.com,https://uk.pcmag.com/ai/162127/sen-bernie-sanders-heres-why-we-need-to-halt-ai-data-center-construction,"In a video, the US senator from Vermont pushed for increased scrutiny and regulation of AI and robotics to ensure the technologies benefit all Americans, rather than only tech billionaires.
US Sen. Bernie Sanders (I-Vt.) is calling for a ""moratorium"" on new d…",robotics,construction
Taiwan automation specialist boosts Malaysia production to serve regional markets,2025-12-23T04:06:21Z,Digitimes,https://www.digitimes.com/news/a20251223PD225/automation-equipment-production-malaysia.html,"Taiwan's major automation equipment controller maker Syntec Technology has begun construction of its second-phase factory in Malaysia, representing a strategic investment of over NT$600 million (approx. US$19 million). The new facility aims to serve as the fi…",automation,construction
Engineers Upskill With Interview Kickstart's New Advanced Generative AI Program As AI-Driven Tech Layoffs At Amazon Microsoft Meta Reshape Tech Careers,2025-12-18T19:31:00Z,GlobeNewswire,https://www.globenewswire.com/news-release/2025/12/18/3208135/0/en/Engineers-Upskill-With-Interview-Kickstart-s-New-Advanced-Generative-AI-Program-As-AI-Driven-Tech-Layoffs-At-Amazon-Microsoft-Meta-Reshape-Tech-Careers.html,"SANTA CLARA, CA, Dec.  18, 2025  (GLOBE NEWSWIRE) -- SANTA CLARA, CA - December 18, 2025 -  -    The global technology sector is entering a period of...",generative AI,structural
First-principles and machine learning investigation of the structural and optoelectronic properties of dodecaphenylyne: a novel carbon allotrope,2025-12-15T00:00:00Z,Royal Society of Chemistry,https://pubs.rsc.org/en/content/articlelanding/2026/nr/d5nr02744f,"Nanoscale, 2026, Advance ArticleDOI: 10.1039/D5NR02744F, PaperKleuton A. L. Lima, José A. S. Laranjeira, Nicolas F. Martins, Julio R. Sambrano, Alexandre C. Dias, Luiz A. Ribeiro Junior, Douglas S. GalvãoDodecaphenylyne (DP), a novel 2D carbon allotrope, comb…",machine learning,structural
Artificial intelligence foundation model automates cryo-EM structure determination,2025-12-01T00:00:00Z,Nature.com,https://www.nature.com/articles/s41592-025-02917-7,"We introduce the Cryo-EM Image Evaluation Foundation (Cryo-IEF) model, which has been pretrained on 65 million particle images in an unsupervised manner. Cryo-IEF excels in diverse cryogenic electron microscopy data-processing tasks; it automates the complex …",artificial intelligence,structural
OpenAI: AI Business Adoption Soars as Employees Save Over an Hour Daily,2025-12-09T20:53:59Z,pymnts.com,https://www.pymnts.com/artificial-intelligence-2/2025/openai-ai-business-adoption-soars-as-employees-save-over-an-hour-daily/,"The era of artificial intelligence (AI) experimentation in business is officially over. A new report from OpenAI, “The state of enterprise AI 2025,” released Monday (Dec. 8), doesn’t just chronicle growth; it signals a structural pivot where generative AI is …","artificial intelligence, generative AI",structural
3Q25 global top 20 EMS/ODM rankings: Chinese firms shift to automotive electronics and AI servers,2025-12-08T04:49:39Z,Digitimes,https://www.digitimes.com/news/a20251208PD207/ai-server-automotive-electronics-manufacturing-growth-china-2025.html,"The global electronics manufacturing services (EMS) and original design manufacturing (ODM) supply chain experienced many structural changes during the third quarter of 2025. In the face of generative AI competition and geopolitical pressure, the global suppl…",generative AI,structural
"Microsoft plans bigger data centre investment in India beyond 2026, to keep hiring AI talent",2025-12-05T00:30:16Z,Livemint,https://www.livemint.com/companies/news/microsoftbigger-data-centre-investment-india-hiring-ai-talent-adani-upskilling-jobs-11764831237489.html,"Ahead of Satya Nadella’s India visit, Microsoft’s Puneet Chandok said AI adoption is scaling fast, data centre investments will go beyond the $3 billion planned through 2026, and upskilling will shape future jobs.",artificial intelligence,infrastructure
North American EMS firms gain new influence as AI transforms the industry,2025-12-04T23:53:34Z,Digitimes,https://www.digitimes.com/news/a20251204PD221/north-america-ems-revenue-digitimes-2025.html,"With third-quarter 2025 earnings now in, DIGITIMES' latest global EMS/ODM rankings point to a turning of the tide: generative AI is triggering a structural shift that is reshaping the balance of power across the global electronics manufacturing supply chain.",generative AI,structural
"Construction Robots Business Analysis Report 2025: Market to Reach $659.7 Billion by 2030, Fueled by Demolition Robots, Labor Shortage, and Cost Reduction in Robotic Technology",2025-11-25T14:34:00Z,GlobeNewswire,https://www.globenewswire.com/news-release/2025/11/25/3194453/28124/en/Construction-Robots-Business-Analysis-Report-2025-Market-to-Reach-659-7-Billion-by-2030-Fueled-by-Demolition-Robots-Labor-Shortage-and-Cost-Reduction-in-Robotic-Technology.html,"The construction robots market is set to transform the industry by enhancing efficiency and safety, addressing labor shortages, and meeting urbanization demands. Key opportunities lie in advancing AI, machine learning, and robotics, driven by complex architec…","robotics, machine learning",construction
"System Infrastructure Software Market to Reach USD 297.18 Billion by 2032, Growing at a CAGR of 7.12% | Research by SNS Insider",2025-12-06T14:45:00Z,GlobeNewswire,https://www.globenewswire.com/news-release/2025/12/06/3201066/0/en/System-Infrastructure-Software-Market-to-Reach-USD-297-18-Billion-by-2032-Growing-at-a-CAGR-of-7-12-Research-by-SNS-Insider.html,"The system infrastructure software market is expanding as businesses accelerate digital transformation, driven by strong cloud adoption, automation initiatives, and rising demand for scalable IT management solutions that enhance performance, reduce costs, and…",automation,infrastructure
