Category,Name,Count,Percentage
CE Area,Structural,44,51.162790697674424
CE Area,Geotechnical,25,29.069767441860467
CE Area,Transportation,50,58.139534883720934
CE Area,Construction Management,28,32.55813953488372
CE Area,Environmental Engineering,41,47.674418604651166
AI Technology,Computer Vision,4,4.651162790697675
AI Technology,Predictive Analytics,6,6.976744186046512
AI Technology,Generative Design,0,0.0
AI Technology,Robotics/Automation,5,5.813953488372093
