rank,combination,article_count
1,Construction Management × Predictive Analytics,337
2,Construction Management × Robotics/Automation,326
3,Transportation × Robotics/Automation,180
4,Transportation × Predictive Analytics,128
5,Structural × Predictive Analytics,115
