CE_Area,Computer Vision,Predictive Analytics,Generative Design,Robotics/Automation
Structural,1.1940535348895476,1.0100446746151437,1.3285561169805542,0.8466457176264249
Geotechnical,0.9146567717996288,1.5581542351453856,0.6707482993197278,0.40016233766233766
Transportation,1.1416679705836332,0.8462842520524575,0.8372231784279976,1.2149507119386638
Construction Management,0.8809156944750165,1.0047997600119993,1.0298627925746568,1.0109784283513097
Environmental Engineering,1.0065218624170589,1.2097808865015263,0.7381160324391766,0.8073144104803494
