year,ce_area,ai_technology,count,total_articles,percentage
2025,Structural,Predictive Analytics,1,36,2.7777777777777777
2025,Geotechnical,Predictive Analytics,1,36,2.7777777777777777
2025,Transportation,Predictive Analytics,1,36,2.7777777777777777
